instancia,max_iter,perturb_size,repeticao,tempo_s,taxa_ocupacao,containers_alocados,cg_long,cg_trans,desvio_peso
VSLow1,20,2,1,125.1408,100,2724,0.4,0.4442,134.31
VSLow1,20,2,2,125.2314,100,2724,0.4007,0.4409,131.49
VSLow1,20,2,3,114.6974,100,2724,0.4001,0.4423,134.22
VSLow1,20,2,4,114.8395,100,2724,0.4002,0.4437,133.58
VSLow1,20,2,5,114.7266,100,2724,0.4,0.4406,131.58
VSMed1,20,2,1,104.9776,100,2604,0.4,0.4455,134.64
VSMed1,20,2,2,105.9281,100,2604,0.4,0.4417,132.16
VSMed1,20,2,3,142.6205,100,2604,0.4002,0.4406,136.62
VSMed1,20,2,4,135.5026,100,2604,0.4001,0.4426,128.73
VSMed1,20,2,5,128.4583,100,2604,0.4001,0.4468,131.53
VSHigh1,20,2,1,175.2748,100,3225,0.4002,0.4636,113.69
VSHigh1,20,2,2,196.1215,100,3225,0.4003,0.4648,116.13
VSHigh1,20,2,3,185.1344,100,3225,0.4005,0.4624,111.76
VSHigh1,20,2,4,167.5941,100,3225,0.4,0.4638,109.39
VSHigh1,20,2,5,171.5351,100,3225,0.4001,0.4645,117.28
